RR,Type,Variable,N,Std,Seasonality_Strength,Seasonal_Amplitude_P95_P05,Dominant_Freq_Hz,Dominant_Period_min,Seconds
RR-1,radiation,Accumulated_Dose_mGy_d,54721,2.237173684117453,0.9983826405189244,0.1854095214728953,3.045753306165214e-07,54721.0,207.47
RR-1,telemetry,CO2_ppm_ISS,60445,561.9724181498984,0.3128126369855259,436.239448676262,5.514655196183858e-07,30222.500000000004,228.96
RR-1,radiation,GCR_Dose_mGy_d,54721,0.0036464289999548,0.1693925479263031,0.0019697693106785,9.137259918495642e-07,18240.333333333332,207.23
RR-12,radiation,Accumulated_Dose_mGy_d,51841,3.744478427844325,0.9970163219463322,0.3245736566426753,3.214958559184172e-07,51841.0,196.96
RR-12,telemetry,CO2_ppm_ISS,58940,434.31412904551246,0.5352073345184003,631.2283305397441,1.1593711118651735e-05,1437.5609756097558,224.3
RR-12,telemetry,RH_percent_ISS,58940,3.36378817943254,0.0634442360236382,2.359213765167496,1.4138672095916753e-06,11788.0,222.64
RR-19,radiation,Accumulated_Dose_mGy_d,48961,3.588438862875587,0.996714705941521,0.3239064386036495,3.40406990597959e-07,48961.0,184.6
RR-19,telemetry,CO2_ppm_ISS,50967,277.6660516312122,0.6171510359137965,609.0272419112785,1.1445314288330358e-05,1456.2,194.65
RR-19,telemetry,Temp_degC_ISS,50967,0.8016432826324953,0.1983326364462986,0.5786137206936418,6.540179593331633e-07,25483.5,192.51
RR-3,radiation,Accumulated_Dose_mGy_d,60481,2.800370988710834,0.9958269650366128,0.2060309182773806,2.7556863588013864e-07,60481.00000000001,227.87
RR-3,telemetry,Temp_degC_ISS,71968,0.9644710324248283,0.6599926331709456,1.7051381739146914,2.315844078849859e-07,71968.0,276.85
RR-3,telemetry,CO2_ppm_ISS,71968,1357.7096668409408,0.4316394265347427,775.6141714286998,2.315844078849859e-07,71968.0,275.24
RR-6,radiation,Accumulated_Dose_mGy_d,69121,3.9147125055818246,0.9983958123406528,0.252225877203666,2.411230547397559e-07,69121.0,261.82
RR-6,telemetry,CO2_ppm_ISS,87872,817.9431293441962,0.5061153409908952,596.0541392300092,1.896698227725176e-07,87872.0,331.62
RR-6,radiation,GCR_Dose_mGy_d,69121,0.0047826632041625,0.2873947850855807,0.006020359440457,2.411230547397559e-07,69121.0,261.0
RR-9,radiation,Accumulated_Dose_mGy_d,44641,2.8441077083766273,0.9720617076548568,0.2918741167480792,3.733488646461026e-07,44641.0,169.6
RR-9,telemetry,CO2_ppm_ISS,50396,590.9267371692575,0.258213243583522,356.92978039714353,3.3071407783686537e-07,50396.0,193.3
RR-9,telemetry,Temp_degC_ISS,50396,0.5297517945792508,0.0442030999551207,0.5679945707622969,9.92142233510596e-07,16798.666666666668,192.02
