RR,Type,Variable,Std
RR-1,telemetry,Temp_degC_ISS,0.8070219077057607
RR-1,telemetry,RH_percent_ISS,6.769546327470513
RR-1,telemetry,CO2_ppm_ISS,561.931488977895
RR-1,radiation,GCR_Dose_mGy_d,0.0036464289999548227
RR-1,radiation,SAA_Dose_mGy_d,0.010072615614643834
RR-1,radiation,Total_Dose_mGy_d,0.008175089181883735
RR-1,radiation,Accumulated_Dose_mGy_d,2.237173684117453
RR-3,telemetry,Temp_degC_ISS,0.9647120272603135
RR-3,telemetry,RH_percent_ISS,5.226215106266403
RR-3,telemetry,CO2_ppm_ISS,1357.699755065014
RR-3,radiation,GCR_Dose_mGy_d,0.0037267861243965705
RR-3,radiation,SAA_Dose_mGy_d,0.010586588244599649
RR-3,radiation,Total_Dose_mGy_d,0.01034832841010919
RR-3,radiation,Accumulated_Dose_mGy_d,2.800370988710834
RR-6,telemetry,Temp_degC_ISS,0.47252460073865754
RR-6,telemetry,RH_percent_ISS,3.4195388105539832
RR-6,telemetry,CO2_ppm_ISS,817.9994387303803
RR-6,radiation,GCR_Dose_mGy_d,0.00478266320416255
RR-6,radiation,SAA_Dose_mGy_d,0.010783275532777166
RR-6,radiation,Total_Dose_mGy_d,0.010103669982914268
RR-6,radiation,Accumulated_Dose_mGy_d,3.9147125055818246
RR-9,telemetry,Temp_degC_ISS,0.5297826776016845
RR-9,telemetry,RH_percent_ISS,3.5186167006026867
RR-9,telemetry,CO2_ppm_ISS,590.9454175405806
RR-9,radiation,GCR_Dose_mGy_d,0.046748602964446564
RR-9,radiation,SAA_Dose_mGy_d,0.025915095019048973
RR-9,radiation,Total_Dose_mGy_d,0.04964389316957585
RR-9,radiation,Accumulated_Dose_mGy_d,2.8441077083766273
RR-12,telemetry,Temp_degC_ISS,0.9236027911085908
RR-12,telemetry,RH_percent_ISS,3.3640473154885955
RR-12,telemetry,CO2_ppm_ISS,434.3395459750434
RR-12,radiation,GCR_Dose_mGy_d,0.00493007871301275
RR-12,radiation,SAA_Dose_mGy_d,0.017638348149463478
RR-12,radiation,Total_Dose_mGy_d,0.018911402717819242
RR-12,radiation,Accumulated_Dose_mGy_d,3.7444784278443244
RR-19,telemetry,Temp_degC_ISS,0.8016821918026266
RR-19,telemetry,RH_percent_ISS,3.553218974388502
RR-19,telemetry,CO2_ppm_ISS,277.6795591594898
RR-19,radiation,GCR_Dose_mGy_d,0.0037319367011650916
RR-19,radiation,SAA_Dose_mGy_d,0.018073448541787634
RR-19,radiation,Total_Dose_mGy_d,0.017900335655037385
RR-19,radiation,Accumulated_Dose_mGy_d,3.588438862875587
