RR,Variable,Type,Orig_Min,Interp_Min,Missing_Min
RR-1,Temp_degC_ISS,telemetry,12087,48346,43
RR-1,RH_percent_ISS,telemetry,12087,48346,43
RR-1,CO2_ppm_ISS,telemetry,12087,48346,43
RR-1,GCR_Dose_mGy_d,radiation,54721,0,0
RR-1,SAA_Dose_mGy_d,radiation,54721,0,0
RR-1,Total_Dose_mGy_d,radiation,54721,0,0
RR-1,Accumulated_Dose_mGy_d,radiation,54721,0,0
RR-3,Temp_degC_ISS,telemetry,14385,57533,78
RR-3,RH_percent_ISS,telemetry,14385,57533,78
RR-3,CO2_ppm_ISS,telemetry,14385,57533,78
RR-3,GCR_Dose_mGy_d,radiation,60481,0,0
RR-3,SAA_Dose_mGy_d,radiation,60481,0,0
RR-3,Total_Dose_mGy_d,radiation,60481,0,0
RR-3,Accumulated_Dose_mGy_d,radiation,60481,0,0
RR-6,Temp_degC_ISS,telemetry,17572,70284,1398
RR-6,RH_percent_ISS,telemetry,17572,70284,1398
RR-6,CO2_ppm_ISS,telemetry,17572,70284,1398
RR-6,GCR_Dose_mGy_d,radiation,69121,0,0
RR-6,SAA_Dose_mGy_d,radiation,69121,0,0
RR-6,Total_Dose_mGy_d,radiation,69121,0,0
RR-6,Accumulated_Dose_mGy_d,radiation,69121,0,0
RR-9,Temp_degC_ISS,telemetry,10079,40311,6
RR-9,RH_percent_ISS,telemetry,10079,40311,6
RR-9,CO2_ppm_ISS,telemetry,10079,40311,6
RR-9,GCR_Dose_mGy_d,radiation,44641,0,0
RR-9,SAA_Dose_mGy_d,radiation,44641,0,0
RR-9,Total_Dose_mGy_d,radiation,44641,0,0
RR-9,Accumulated_Dose_mGy_d,radiation,44641,0,0
RR-12,Temp_degC_ISS,telemetry,11785,47145,51
RR-12,RH_percent_ISS,telemetry,11785,47145,51
RR-12,CO2_ppm_ISS,telemetry,11785,47145,51
RR-12,GCR_Dose_mGy_d,radiation,51841,0,0
RR-12,SAA_Dose_mGy_d,radiation,51841,0,0
RR-12,Total_Dose_mGy_d,radiation,51841,0,0
RR-12,Accumulated_Dose_mGy_d,radiation,51841,0,0
RR-19,Temp_degC_ISS,telemetry,10193,40769,25
RR-19,RH_percent_ISS,telemetry,10193,40769,25
RR-19,CO2_ppm_ISS,telemetry,10193,40769,25
RR-19,GCR_Dose_mGy_d,radiation,48961,0,0
RR-19,SAA_Dose_mGy_d,radiation,48961,0,0
RR-19,Total_Dose_mGy_d,radiation,48961,0,0
RR-19,Accumulated_Dose_mGy_d,radiation,48961,0,0
