gene,log2FoldChange,padj
ENSMUSG00000030653,-23.2794221357061,3.4877323510317897e-12
ENSMUSG00000030209,-2.39866504965385,0.0356392122456917
ENSMUSG00000027513,-2.19597440224262,0.0222709764026618
ENSMUSG00000079620,-2.11740870489297,0.0011955424138109
ENSMUSG00000067786,-2.08525696737868,0.0002040828336132
ENSMUSG00000059201,-1.86143807714689,0.0298685901960531
ENSMUSG00000059824,-1.79026624022225,0.0004183703716159
ENSMUSG00000044021,-1.6639537970073,0.0012887405206995
ENSMUSG00000053963,-1.63421629171076,1.444908208146e-09
ENSMUSG00000074071,-1.61985324857608,0.0037339420338047
ENSMUSG00000038550,-1.61368776964838,0.0079588800186588
ENSMUSG00000027313,-1.61202675376839,0.0386789979044858
ENSMUSG00000055866,-1.60919373040773,4.14361273046392e-06
ENSMUSG00000117757,-1.58996947522021,0.0177514039286327
ENSMUSG00000002289,-1.52769756150025,0.038108514483596
ENSMUSG00000025726,-1.42668680589373,0.0053878316873027
ENSMUSG00000019577,-1.42140992807017,0.0376992545888316
ENSMUSG00000032942,-1.41580220226892,0.0106547938700867
ENSMUSG00000036492,-1.40981239101151,0.0091626754979643
ENSMUSG00000024972,-1.37550342546536,0.0406608640902756
ENSMUSG00000074398,-1.3742249254832,0.0009607825173061
ENSMUSG00000102838,-1.33668414134333,0.0005918135416345
ENSMUSG00000079165,-1.33396457232232,0.0131807103218269
ENSMUSG00000022878,-1.32065097703328,0.0019363139684164
ENSMUSG00000079554,-1.3165116953354,0.0168658720015698
