gene,log2FoldChange,padj
ENSMUSG00000078162,6.79039210706756,0.0116844382660021
ENSMUSG00000118229,6.14973529080884,1.3650165868876902e-09
ENSMUSG00000019942,3.37288022597586,0.0002275490140334
ENSMUSG00000021250,3.1158238548021,2.1524461498675e-09
ENSMUSG00000117713,3.05777380481655,1.5964629087300399e-12
ENSMUSG00000049723,3.03655446366563,0.0001132332759331
ENSMUSG00000027338,2.95900882835951,0.0025192443980052
ENSMUSG00000046828,2.8908496528121,2.2966038762945803e-15
ENSMUSG00000043760,2.69994649237979,0.0008674991359932
ENSMUSG00000102112,2.66535397727469,0.0034007077724999
ENSMUSG00000015880,2.65712072919441,0.0012868357138413
ENSMUSG00000025221,2.60872682206493,2.5156932708952297e-13
ENSMUSG00000105096,2.44899720264073,5.26982155440543e-50
ENSMUSG00000003545,2.42821536157953,4.97310436792442e-06
ENSMUSG00000065251,2.42198299518923,0.0047555139035635
ENSMUSG00000009114,2.40288370039517,2.56696522601407e-05
ENSMUSG00000050276,2.38130012730345,0.0043362559887701
ENSMUSG00000020914,2.38109689605908,0.0008186998752844
ENSMUSG00000020734,2.32972626299448,1.8971246242982397e-11
ENSMUSG00000069310,2.26808260288136,6.26416309573177e-05
ENSMUSG00000050578,2.2572129079641,0.0018852306382617
ENSMUSG00000027379,2.19665058365497,0.0378456192181728
ENSMUSG00000035963,2.11760874348834,0.0075965971310555
ENSMUSG00000087242,2.09791298330835,6.288287986730649e-11
ENSMUSG00000042489,2.04525787702351,0.0007612455474452
